"Ref";"Cláusula / Item";"Origem";"Categoria";"Entra no motor";"Dependências";"Inputs necessários";"Outputs gerados";"Observações"
"Cl.1";"Âmbito";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Universo: 441 tripulantes de cabine com contrato PT representados pelo SNPVAC."
"Cl.2";"Aplicabilidade";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Substitui acordos anteriores."
"Cl.3";"Duração e revisão";"AE";"DOCUMENTAÇÃO";"Não";"—";"Data";"—";"Vigência 01/02/2023–31/01/2027. Informa a SELEÇÃO de tabela por data efetiva (Anexo I tem 3 datas)."
"Cl.4";"Regras estatutárias";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Matérias não reguladas → lei PT / OMA-A."
"Cl.5";"Manuais de operações";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Cumprir OMA-A."
"Cl.6";"Relações entre as partes";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Modelo de consulta."
"Cl.7";"Cultura justa";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.8";"Informação e consulta";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.9";"Estrutura das reuniões";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Reuniões trimestrais."
"Cl.10";"Delegados sindicais";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.11";"Quotas sindicais";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Retenção de quota/plano de saúde (% definida pelo sindicato — valor não no AE)."
"Cl.12";"Utilização de instalações";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.13";"Dispensa atividade sindical (UNN)";"AE";"DERIVED";"Sim (nicho)";"Setor nominal";"Dia UNN";"3 × setor nominal";"Paga 3 NS por dia de crédito sindical; UNNU não paga. Só delegados."
"Cl.14";"Resolução de litígios";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.15";"Comissão paritária";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.16";"Serviços mínimos (greve)";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.17";"Interoperabilidade";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Termos PT valem em qualquer COA easyJet."
"Cl.18";"Deveres da easyJet";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.19";"Deveres do trabalhador";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.20";"Ambiente de trabalho";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.21";"Princípios SST";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.22";"Exames médicos obrigatórios";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"EMED = tempo de serviço 60/120 min (relevante p/ FTL, NÃO p/ pagamento AE)."
"Cl.23";"Acidentes/doenças profissionais";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.24";"Drogas e álcool";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.25";"Proteção de dados";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Privacy-first (argumento de produto, não cálculo)."
"Cl.26";"Dignidade / assédio";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.27";"Bullying";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Código ""No Fly""."
"Cl.28";"Igualdade de oportunidades";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.29";"Atividades no Lado Ar";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Atraso ID não imputável → salário base garantido."
"Cl.30";"Formação inicial";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Só salário base; SEM pernoita. Regra de exclusão p/ per-diem."
"Cl.31";"Formação";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Salário base + pernoita se fora da base."
"Cl.32";"Vínculo (bond)";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Reembolso 900→0€ por mês até 12m (clawback na cessação; não é pagamento mensal)."
"Cl.33";"Categorias profissionais (ranks)";"AE";"CORE";"Sim";"—";"Categoria: FA1 / FA / CMprob / CM";"Seleciona base + setor nominal";"RAIZ da identidade. Chave de quase todos os cálculos."
"Cl.34";"Chefe de Cabine Upranker";"AE";"DERIVED";"Sim";"Anexo I.15";"Setores como Upranker, data";"€/setor Upranker";"Elegível p/ categorias específicas. Ver Anexo I.15."
"Cl.35";"Responsabilidades adicionais (CCLT/CTI-Flexi)";"AE";"DERIVED";"Sim";"Setor nominal, Anexo I.16";"Dias CCLT / atividade CTI";"CCLT €25/dia; CTI-Flexi 4 × NS";"Elegibilidade por categoria."
"Cl.36";"Tipo de contrato";"AE";"CORE";"Sim";"—";"Tipo de contrato";"Fator de proporção da base";"Liga a 46/47/48/80."
"Cl.37";"Conteúdo do contrato";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Campos do contrato (categoria, base, etc.)."
"Cl.38";"Período experimental";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.39";"Tempo de serviço";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Antiguidade → relevante p/ férias 26 dias (Cl.72)."
"Cl.40";"Readmissão termo certo (FTR)";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Passa à escala de FA após 12m."
"Cl.41";"Exclusividade";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.42";"Pirataria/guerra";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Mantém salário base + apoio psicológico."
"Cl.43";"Crescimento futuro / prioridade";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.44";"Transferências";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.45";"Meios informáticos";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"—"
"Cl.46";"Contrato a tempo parcial anual 10/12";"AE";"CORE";"Sim";"Base anual";"Tipo de contrato";"Base = 10/12; 14 prestações; férias 21";"Fator de contrato."
"Cl.47";"Contrato a tempo parcial anual 8/12";"AE";"CORE";"Sim";"Base anual";"Tipo de contrato";"Base = 8/12; férias 17";"Fator. Não p/ novas contratações."
"Cl.48";"Contrato intermitente 9/3";"AE";"CORE";"Sim";"Base anual";"Tipo de contrato";"Atividade 100% / inatividade 25%; férias 19";"Fator. Média 12m p/ subsídios."
"Cl.49";"Mínimo de contratos 12/12";"AE";"DOCUMENTAÇÃO";"Não";"—";"—";"—";"Garantia de 2 aeronaves 12/12 em LIS e OPO."
"Cl.50";"Remuneração base";"AE";"CORE";"Sim";"Anexo I.1";"Categoria, contrato, data";"Base mensal (14 prestações)";"12 base + 2 subsídios. Deduções máx 1/6 e €150/mês."
"Cl.51";"Subsídios de férias e Natal";"AE";"DERIVED";"Sim";"Base, variável (média 12m), língua";"Base, média variável, língua";"Férias = 1/14 base + média variável + 1/14 língua; Natal = 1/14 base + 1/14 língua";"Pagos jun/nov."
"Cl.52";"Per diem";"AE";"CORE";"Sim";"Setor nominal (Anexo I.2), Cl.53";"Setores voados fora da base, pernoitas";"Per-diem por setor/pernoita";"Parte isenta/tributável (lei fiscal). NÃO em ASBY casa/terra/formação."
"Cl.53";"Definição de setores";"AE";"CORE";"Sim";"Setor nominal";"Distância grande círculo (NM)";"Banda (curto/médio/longo/extra) + multiplicador 0.8/1.2/1.5/2.5 × NS";"NÚCLEO do per-diem. ≤400 / 401-1000 / 1001-1500 / ≥1501 NM."
"Cl.54";"Abono para falhas (cash handling)";"AE";"DERIVED";"Sim";"Base anual (Anexo I.4)";"Base anual";"5% da base anual, 12 prestações";"Entra no TOTAL mensal interligado."
"Cl.55";"Comissões";"AE";"VISUAL";"Não";"Vendas a bordo";"Vendas (indisponíveis)";"—";"10% Bistro/Boutique repartido + 5% cortesia. NÃO computável (sem dados de venda)."
"Cl.56";"Pernoitas (night stops)";"AE";"CORE";"Sim";"Anexo I.7";"Noites fora da base, data";"€38 → €46 / noite";"Desde escala Fev-2024 = €46. Incluído no per diem."
"Cl.57";"Posicionamento";"AE";"CORE";"Sim";"Anexo I.18";"Categoria, banda de distância, data";"€ por posicionamento";"Tabela por categoria × banda × data."
"Cl.58";"Assistência no aeroporto (ASBY/ADTY)";"AE";"DERIVED";"Sim";"Setor nominal (médio = 1.2 × NS)";"Horas ASBY; se chamado/voou";"1 ou 2 setores médios (+ per diem se voou > 4h)";"Regras condicionais (até 03:59 / > 4h)."
